Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
0.11,-0.06,-0.05,0.27,0.02,0.11,0.03,,21.6,20.07,-30.14,12.49,89.51,95.27,1,1,10,6.45,0.95,-20.6,-19.2,-17.7,4974,2.91,0
0.06,0.16,0.19,0.22,0.06,0.08,0.16,,121.09,-28.42,8.76,-61.83,8.95,63.08,1,2,28,9.35,0.79,27.9,3.7,8.6,5415.7,4.29,0
0.07,-0.09,0.08,0.15,0.24,0.06,0.04,0.81,21.67,19.24,-81.78,26.87,35.47,93.11,1,1,11,5.5,1.11,13.3,-48.8,14.8,4625,2.84,0
-0.19,0.08,-0.07,,-0.09,-0.08,,,56.24,-0.3,110.17,-35.69,-35.41,121.1,1,1,13,5.57,1.41,-65.2,-30.5,-24,4050,1.74,0
0.01,-0.12,-0.01,-0.04,0.06,0.03,-0.01,1.04,319.14,9.39,-4.21,15.58,0.5,16.15,1,1,13,7.88,1.02,-10.7,-20,-4.8,4724.3,4.68,0
-0.51,,-0.18,-0.19,-0.37,-0.31,-0.23,,121.12,9.27,5,-28.61,4.59,29.4,1,2,25,7.26,0.63,64.5,24.9,11.9,5731.2,4.4,0
-0.06,0.02,-0.13,-0.03,-0.05,-0.02,0.02,0.22,21.71,-29.47,14.72,-4.33,39.54,42.41,1,2,25,8.41,0.73,17.2,-36.6,-22.2,5567.2,4.41,0
0.25,,,,,0.25,0.15,,21.71,-13.06,-30.12,8.54,-16.71,35.49,1,3,30,5.52,0.32,-5.5,1.1,-9.2,7124.5,4.05,0
0.02,,,0.13,-0.05,0.03,0.05,0.05,237.61,1.82,-7.98,17.95,77.52,79.97,0,2,23,8.28,0.62,9999,9999,9999,,,0
-0.02,,,-0.07,0.06,0.04,0.09,,221.76,-52.38,10.81,-38.59,-65.77,77.02,1,2,28,5.21,0.98,-26,-3.4,-27.4,4917,2.8,0
-0.2,-0.32,,-0.24,-0.27,-0.1,0.11,,319.25,-46.06,-7.05,17.77,-34.21,39.19,0,1,12,10.08,1.08,9999,9999,9999,4732,4.43,0
-0.02,0.19,-0.01,,,,,,121.18,24.33,-7.28,31.55,-33.5,46.59,1,2,25,8.4,0.73,-26.5,2.2,7.1,5639,,0
0.19,0.22,0.02,0.19,0.19,0.24,0.28,,319.26,-1.08,7.15,-17.53,-35.21,39.97,1,2,25,8.07,0.74,-34,-19.8,-13.3,5643.3,4.47,0
-0.21,-0.1,-0.27,-0.11,-0.12,-0.17,-0.12,0.63,221.82,2.7,5.76,-16.57,8.22,19.37,1,1,12,7.75,0.89,-4.8,-23.4,18.7,5027.3,4.48,0
0.25,0.25,-0.05,,,,,,21.78,41.19,85.17,-17.81,-31.34,92.48,1,2,20,8.74,0.68,-13.5,-34.9,-44.5,,,0
-0.17,,-0.05,0.01,-0.21,-0.12,-0.17,,319.31,-21.74,-45.39,95.61,-26.99,109.23,1,3,35,7.97,0.44,86.7,-20,-22.2,6592.7,4.06,0
-0.05,0.06,-0.17,-0.01,-0.02,0.02,0.08,0.36,21.86,-25.94,-31.05,3.99,-32.5,45.12,1,1,10,9.15,0.86,18.8,-21.4,-25.9,5229.8,4.42,0
0.07,0.06,-0.03,0.1,0.03,0.07,0.09,0.09,221.89,-0.28,-12.03,28.13,-8.85,31.85,1,1,10,8.04,0.78,-9.7,-28,-10.6,5385.4,4.45,1
-0.14,,,-0.04,-0.03,-0.04,-0.01,,21.91,-71.7,90.53,-7.15,-55.99,106.69,0,2,28,7.26,0.96,9999,9999,9999,4898,3.12,0
-0.21,-0.17,,-0.21,-0.23,-0.16,-0.11,,21.98,-1.99,19.53,-0.19,-43.65,47.82,1,2,25,8.59,0.66,61.1,-13.3,18.5,5687,4.52,0
-0.09,-0.1,-0.01,0.2,0.18,-0.04,-0.02,0.5,221.98,-12.84,-54.57,100.69,-32.15,118.95,1,1,11,6.34,1.1,55.9,-25.3,-20.7,,,0
-0.33,-0.14,-0.24,-0.26,-0.24,-0.37,-0.43,,121.43,68.38,-19.41,37.09,-37.72,56.35,1,3,37,8.15,0.53,-61.1,-39.6,-39.9,6025.5,4.41,0
0.02,0.14,,0.03,0.02,0,0.16,,22.03,-28.05,54.19,2.13,-12.3,55.61,1,3,36,7.73,0.53,-34.1,-7.4,-25.5,6339.3,4.96,0
-0.06,,0.14,-0.16,-0.18,0.11,0.07,,22.04,-52.64,28.56,1.28,-27.63,39.76,1,1,11,9.07,0.95,-8.6,-18.8,-0.9,4859,4.52,0
0.23,-0.03,0.04,0.33,0.39,0.31,0.24,0.9,22.1,7.96,12.64,1.32,117.9,118.58,1,1,11,6.21,1.11,-46.5,-38.3,3.9,4805,2.86,0
0.23,,,,0.19,,0.22,,22.1,17.08,10.6,1.18,-52.75,53.82,1,3,38,6.59,0.53,-25.4,-18.9,-8.2,6255.5,4.05,0
-0.39,0.03,-0.03,-0.22,-0.15,-0.31,-0.32,,222.08,58.91,38.2,-56.37,67.39,95.8,1,2,23,9.77,0.63,-97.3,-64.2,39.2,5604.7,4.47,0
0.02,-0.02,0.15,0,0.01,0.13,0.02,,22.14,42.27,4.7,0.72,-32.82,33.16,1,3,38,6.66,0.51,-9,-6.6,-15.9,6261.7,4.35,0
0.04,-0.03,-0.07,0.04,-0.02,0.03,0.03,0,319.61,-43.33,13.16,-14.36,14.73,24.42,1,2,25,6.75,0.64,-12.3,1.6,-27.1,5828,4.52,0
-0.22,-0.03,-0.13,-0.2,-0.13,-0.21,-0.25,-0.01,319.65,8.96,-27.19,27.31,19.34,43.11,1,3,35,7.27,0.49,-15.4,-6.8,-24,6233.8,4.39,0
-0.23,-0.35,,-0.26,-0.31,-0.02,0.19,,319.66,-8.04,-4.56,4.5,-34.11,34.7,0,1,14,9.87,1.11,9999,9999,9999,4737,4.4,0
0.1,0.16,0.21,0.2,0.14,0.11,0.15,0.11,319.68,-61.35,2.11,-2,31.59,31.73,1,2,25,6.6,0.69,-77.9,-56.5,-24.3,5665,4.04,0
-0.06,-0.23,-0.2,-0.11,-0.22,-0.04,-0.09,,319.69,-2.14,-45.72,42.91,-98.67,116.9,1,2,28,8.11,0.89,21.7,1,-3.3,,,0
0.09,-0.04,-0.03,0.08,0.03,0.16,0.08,0.17,319.74,26.23,13.66,-11.51,34.91,39.21,1,2,28,8.45,0.75,-23.2,-15.3,-12.4,,,1
-0.13,0.01,0.12,,-0.05,-0.16,-0.31,0.02,222.28,56.9,-79.07,77.55,40.09,117.79,1,3,38,8.16,0.47,15.3,-35.5,-2.8,6280.2,3.92,0
0.04,0.08,,,0.02,,0.01,,250.24,21.95,-21,40.48,1.96,45.64,1,3,38,7.67,0.59,-15.9,-20.4,5,6032.5,4.29,0
-0.15,-0.14,-0.2,-0.11,-0.14,-0.06,-0.07,-0.27,121.75,-29.4,7.9,-7.65,23.23,25.7,1,2,20,6.79,0.6,58.9,-7.2,10.9,5885,4.5,0
0.01,,0.3,0.08,0.04,-0.05,0.18,,222.31,10.21,22.88,-21.16,-31.44,44.27,1,1,12,8.43,0.87,-42.1,-54.5,-75,5081,4.56,0
-0.46,,-0.21,-0.15,-0.33,-0.29,-0.22,,22.37,-51.5,-25.86,-10.27,-80.09,84.79,1,2,28,7.69,0.84,40.7,-94.4,31.8,5049.5,3.35,0
0.07,,,0.07,0.04,0.18,0.15,,222.33,49.84,-38.85,34.6,-23.72,57.18,1,3,38,8.11,0.57,1.8,4,-15.5,,,0
0.23,,,,0.23,,0.22,,121.79,-36.38,-9.05,8.19,47.18,48.73,1,3,38,7.3,0.55,-30.7,-21.1,4,6261.5,4.32,0
0.34,,0.22,,,,,,222.36,10.04,85.49,-71.15,-79.3,136.6,1,1,13,6.64,1.26,-3.5,-75.3,-26.5,,,0
-0.22,-0.5,-0.57,-0.01,0.19,-0.2,-0.41,,254.66,-55.99,-117.35,-22.09,74.62,140.81,1,1,13,3.13,1.55,-18.9,-21.9,-4.9,4350,1.5,0
0.38,0.28,0.17,,,,,,22.43,17.1,13.97,6.5,-84.78,86.17,1,2,25,8.14,0.72,-54.5,-18.3,-14,5628,,0
-0.03,,,0.05,0.06,0.04,0.09,,121.83,-48.39,16.1,-13.33,65.56,68.81,1,1,11,6.7,0.95,-87.7,-59,-14.6,4976,3.31,0
-0.23,-0.13,-0.2,-0.12,-0.25,-0.13,-0.16,-0.22,222.38,-59.13,32.13,-25.53,-25.64,48.39,1,2,23,8.53,0.65,-77.8,27.2,2.5,5774,,0
-0.27,-0.1,-0.17,-0.25,-0.23,-0.29,-0.35,-0.06,22.45,23.69,-5.41,-2.69,-46.72,47.11,1,3,38,7.64,0.56,39.9,-28.3,21.2,5890.2,4.26,0
0.37,0.34,0.25,,0.32,,0.28,,22.46,31.01,-35.35,-18.08,-17.19,43.27,1,2,25,7.95,0.71,-40.8,-18.6,0.7,5655.5,4.42,0
-0.16,,,,,,,,121.86,-32.01,-36.89,29.01,-31.63,56.59,0,2,22,8.6,0.62,9999,9999,9999,,,0
0.39,,,,,,,,121.89,-24.3,-10.94,8.08,14.82,20.11,1,3,35,2.81,0.46,-27.7,-37.5,-0.7,6687.2,3.26,0
0.09,0.11,0.3,0.14,0.13,0.08,0.06,-0.04,22.5,-22.52,40.45,22.54,27.32,53.76,1,2,25,7.99,0.66,-20.4,-29.8,-27.1,5791,,0
0.45,,0.45,0.42,0.43,0.35,0.35,,22.5,-19.6,-51.61,-29.07,-55.73,81.33,0,2,28,8.37,0.76,9999,9999,9999,5599,4.15,1
0.18,0.16,,,,,,,222.44,-9.2,68.17,-47.74,-18.81,85.32,1,3,36,7.65,0.52,-36.8,-13.4,-10,6225.5,,0
0.11,-0.07,0.07,0.28,0.24,0.14,0.15,0.58,22.53,47.01,81.79,48.39,11.13,95.68,1,1,10,5.27,1,8.1,-14.2,-13.9,4892.2,2.71,0
-0.37,-0.24,-0.08,-0.02,-0.14,-0.3,-0.09,1.03,22.55,6.14,-85.02,-52.73,-14.03,101.02,1,1,13,4.84,1.37,-107.6,-79.5,-19.8,4085.6,1.91,0
-0.25,0.09,-0.09,-0.08,-0.17,-0.13,-0.13,-0.03,319.94,-26.35,5.41,-2.97,-16.88,17.97,1,2,27,6.56,0.74,32,-31.1,37.4,5495.5,4.51,0
0.17,0.47,0.24,0.2,0.19,0.2,0.17,0.2,121.94,21.58,18.08,-11.87,9.38,23.58,1,2,22,5.3,0.64,32.9,4.2,-15.9,5751.9,4,0
-0.52,-0.36,,-0.41,-0.47,-0.38,-0.24,,22.6,-29.26,17.24,12.12,31.73,38.09,1,1,12,9.44,0.86,-16.7,37.2,30.9,5002.5,4.5,0
-0.08,-0.08,-0.08,-0.06,-0.09,-0.05,-0.06,-0.13,320.02,-42.68,13.22,-5.94,52.94,54.88,1,2,20,8.22,0.56,-35.1,-5.6,-13,6032.3,4.54,0
-0.01,0.01,0.05,-0.01,0.01,0.07,0.01,-0.05,222.57,23.91,-5.51,2.92,-17.09,18.2,1,3,39,5.88,0.58,4.7,9.5,-7.5,5928.2,4.35,0
-0.29,-0.43,-0.15,-0.12,-0.23,-0.17,-0.22,-0.33,222.59,82.51,-26.29,13.29,32.24,43.67,1,3,39,5.64,0.67,71.2,-15.7,-8.1,5587.5,3.45,0
-0.12,,,,-0.04,,-0.08,,222.59,6.81,-23.83,11.98,15.69,30.95,1,1,12,9.09,0.96,-66.4,-66.2,9,4825.3,4.71,0
0.4,0.4,,,,,,,122.04,19.22,-64.33,33.99,27.92,77.93,1,3,38,7.63,0.62,-21.3,-40.5,-11.7,6049,,0
-0.26,-0.2,-0.15,-0.17,-0.22,-0.18,-0.17,,122.04,71.92,39.13,-20.28,15.2,46.62,1,2,22,8.2,0.62,-103.6,-54.9,-11.5,5751.8,4.38,0
-0.43,,,-0.42,-0.35,-0.06,0.11,,122.05,21.11,9.4,-4.74,12.89,16.64,1,0,3,9.41,1.34,-72.9,-47.5,5.9,,,0
0.02,-0.25,0.15,-0.03,-0.06,0.01,0.05,-0.21,287.13,-30.97,-8.37,-24.95,12.49,29.13,1,2,28,7.75,0.79,-26.2,-7.4,-0.4,5345,,0
-0.07,-0.25,-0.06,0.08,0.11,-0.01,-0.05,0.4,320.14,60.76,-55.9,17.48,-106.04,121.14,1,2,25,6.11,1.01,30.2,-21.8,6.8,,,0
-0.06,,,-0.18,-0.08,,,,222.67,-16,20.44,-8.2,6.56,22.98,1,3,34,5.16,0.4,-24.5,-8.1,-12.1,6679.2,4.13,0
-0.14,,0.09,-0.06,0,0,-0.1,,222.67,22.91,20.92,-8.41,-29.39,37.04,1,2,22,7.49,0.64,-50,-65.4,8.9,5674.2,4.29,0
-0.17,-0.37,-0.33,0,0.14,-0.24,-0.2,1.53,222.68,74.16,-12.03,4.76,-38,40.15,1,1,14,2.08,1.47,-10.3,8.4,12.4,4153.7,1.84,1
0.39,0.51,0.26,0.33,0.37,0.32,0.41,,22.81,-10.9,3.91,4.16,57.42,57.7,1,2,26,8.04,0.76,-22,9.7,-35.9,5638.8,4.12,0
-0.3,-0.34,-0.29,-0.09,-0.13,-0.17,-0.24,-0.25,22.81,-49.07,-10.74,-11.55,39.71,42.73,1,2,28,3.95,0.97,-42.6,7.9,-0.4,4809,2.55,0
0.07,0.1,0.04,-0.21,-0.09,-0.04,0.06,-0.14,320.21,-53.03,-42.33,10.1,-17.02,46.73,1,2,27,8.67,0.69,-7.2,-18.8,-0.6,5578.3,4.49,0
-0.19,0.01,-0.36,-0.01,-0.09,-0.11,-0.11,-0.05,320.21,32.45,32.52,-7.75,56.47,65.62,1,2,24,5.68,0.8,-6.7,-29.6,-15.5,5239.5,3.46,0
0.04,,,0.17,0.03,0.09,0.07,0.08,22.83,29.41,12.17,13.59,-39.56,43.56,1,2,20,7.31,0.62,-33.8,-22.8,-17.5,5881.7,4.24,0
0.06,0.31,0.11,0.14,0.14,0.09,0.19,,22.84,-58.72,22.2,25.34,-49.2,59.63,1,2,28,9.17,0.78,-58,-96.7,-2.4,5395,4.42,0
-0.33,-0.39,-0.18,0.06,-0.06,-0.15,-0.15,0.21,222.75,-2.3,39.21,-12.07,-45.99,61.62,1,1,10,4.94,0.99,89.5,-18,30.6,4763.7,2.53,0
-0.05,-0.31,-0.22,0.03,0.1,-0.03,-0.02,0.32,22.87,15.35,49.31,59.62,29.31,82.74,1,2,27,3.62,0.97,-16.8,-1.7,-8.6,4923.5,2.5,0
-0.1,,,0.38,0.02,0.01,0.05,0.31,320.26,40.35,-23.35,4.41,12.85,27.01,1,3,38,6.4,0.53,22.1,-3.7,-18.8,6069.6,4.5,0
-0.1,0.02,0.19,0.19,0.13,-0.02,0.11,0.45,320.27,23.86,23.87,-4.2,-80.04,83.62,1,1,10,5.57,1.06,-61.6,-102.3,-70,4687.8,2.54,0
-0.1,-0.09,-0.05,-0.15,-0.14,-0.05,-0.06,-0.09,222.85,19.1,-6.37,1.33,1.67,6.71,1,2,27,4.59,0.72,5.1,2,-1.2,5484.4,4.53,0
-0.8,-0.04,-0.44,-0.55,-0.4,-0.58,-0.72,,122.23,24.62,-83.55,25.41,-48.71,100,0,2,23,9.65,0.68,9999,9999,9999,5361.8,4.24,0
0.07,-0.09,-0.06,0.04,-0.02,0.02,0.05,,22.98,16.05,53.48,81.04,-34.24,102.95,1,2,25,7.82,0.97,33.6,-57.5,-41.5,,,0
-0.21,-0.14,-0.03,-0.16,-0.07,-0.13,-0.05,-0.26,122.25,-61.3,-0.8,0.22,19.96,19.98,1,3,36,4.76,0.44,17.6,-15.2,-31.9,6480.4,4.19,0
-0.52,-0.32,-0.35,-0.38,-0.5,-0.44,-0.4,,222.88,-60.93,15.46,-2.67,45.76,48.37,1,3,35,7.18,0.45,40.2,-5.6,17.3,6313.6,4.29,0
-0.21,-0.12,-0.12,-0.19,-0.13,-0.07,-0.09,,222.9,-17.79,-26.11,4.15,47.09,54,1,3,36,6.56,0.48,26.7,-32.4,-3.9,6343,4.27,0
-0.78,-0.72,-0.39,-0.39,-0.63,-0.55,-0.52,,122.27,-42.07,23.21,-5.95,68.4,72.47,1,2,23,9.62,0.6,-137.4,-45,-83.2,5629.3,4.49,0
0.15,,,,-0.06,-0.16,0.1,,222.92,-30.88,-85.37,11.61,51.37,100.31,0,3,30,8.24,0.51,9999,9999,9999,,,0
-0.03,-0.1,-0.03,-0.09,-0.15,0.01,-0.04,,320.39,28.56,-123.3,6.07,-36.89,128.84,1,2,25,8.34,0.74,57.6,6.4,-18.9,,,0
-0.14,,,-0.03,-0.03,-0.04,-0.05,,122.29,-35.46,77.65,-18.15,99.97,127.88,1,2,28,6.22,0.89,-1.9,15.2,4.1,5142,3.07,0
0.09,,0.16,,,,,,320.46,-16.27,-52.26,-1.07,33.2,61.92,1,2,22,7.45,0.61,-24.7,-56.6,-21.5,5893,4,0
0.14,0.1,0.16,0.18,0.22,0.14,0.18,0.53,237.81,35.66,-7.9,11.11,-26.77,30.04,1,1,10,4.82,1,33.1,-41.2,-19,4816.3,3.26,1
0.14,-0.07,0.09,0.27,0.29,0.17,0.14,0.87,320.5,49.39,60.58,3.6,-72.91,94.86,1,1,10,5.68,1.1,-33.1,-5.4,8.2,4740,2.75,0
0.04,0.05,0.05,0.19,0.24,0.09,0.12,0.62,320.52,19.8,28.58,2.27,40.52,49.64,1,1,11,4.09,1.11,-50.6,-61.7,19.3,4670.7,2.64,0
0.03,-0.06,,0.01,-0.03,0.12,0.29,,320.54,-51.36,19.56,1.84,-37.65,42.47,0,1,10,9.77,1.02,9999,9999,9999,4840,4.37,0
0.03,0.14,0.26,0.15,0.1,0.05,0.29,0.58,223.07,-43.82,-32.7,-0.68,5.42,33.15,1,1,12,8.71,0.91,-12.6,-22.9,-18.8,4993,4.42,0
0.08,-0.28,-0.14,0.16,0.11,0.04,0.04,0.4,320.56,-16.83,-25.74,-3.08,54.46,60.31,1,2,27,4.27,0.89,1.2,6.1,-13.7,5121.5,2.88,0
-0.01,,,-0.03,0.1,0.02,0.06,,23.23,-36.87,-18.29,-53.68,62.49,84.39,1,1,11,5.5,1.02,4.8,-8.9,-9,4725,2.71,0
-0.28,,,-0.13,-0.22,-0.27,-0.12,,23.24,23.7,-2.84,-8.53,-66.81,67.41,1,2,25,9.05,0.62,96.2,-19.9,-17.6,5648.8,4.32,0
0.31,,0.12,,0.19,,0.1,,23.26,53.03,15.38,49.2,20.19,55.36,1,2,25,8.41,0.71,-28.2,-46.3,14.7,5616.5,4.38,0
-0.26,,-0.14,-0.08,-0.18,-0.08,-0.13,,122.55,35.45,29.17,0.75,-36.58,46.8,1,2,20,6.61,0.54,70.2,-55.7,2,6105.5,3.96,0
0.02,-0.04,-0.07,-0.1,-0.05,-0.02,-0.03,,23.32,-24.18,-2.71,-10.79,15.71,19.25,1,2,28,6.96,0.77,-11.4,-26.5,-2.2,5461,4.56,0
0.18,0.19,0.22,0.19,0.14,0.23,0.21,,223.14,-30.58,-25.62,-2.18,28.61,38.47,1,2,20,6.29,0.61,-59.5,-33.7,9.4,5998.8,4.04,0
-0.24,-0.19,,-0.17,-0.22,-0.15,-0.14,,23.32,-47.31,13.98,55.96,10.63,58.65,1,2,20,8.19,0.57,-23,43.1,-38.8,6031.3,4.43,0
0.12,0.09,0.03,0.13,0.07,0.14,0.11,0.01,23.32,-38.25,-11.41,-46.52,-29.1,56.04,1,2,21,8.2,0.61,13.1,-1.8,4.3,6072.8,4.53,0
0.12,0.24,0.22,0.18,0.11,0.14,0.19,,223.15,-25.45,-48.74,-4.96,-16.34,51.64,1,2,25,7.87,0.71,-45.4,-41.5,-12.5,5691.7,4.24,0
0.09,-0.03,-0.04,-0.07,-0.04,0.01,0.03,,23.33,23.98,-3.06,-12.91,-30.22,33,1,2,20,7.63,0.67,-6.2,7.6,-2,5751,4.59,0
0.13,0.08,0,0.06,0.06,0.13,0.09,0.08,23.33,29.27,6.22,26.85,-42.06,50.29,1,2,25,8.35,0.68,-46.2,-22.6,-14.9,5821.5,4.48,1
-0.33,,,-0.01,-0.17,-0.12,-0.16,-0.16,320.67,76.56,15.5,3.65,36.24,39.59,1,2,20,6.87,0.64,16.6,-47.5,21.1,5623.5,,0
0.05,-0.13,0.04,0.03,0.01,0.02,0.03,0.02,122.61,25.51,-37.26,-3.41,14.71,40.2,1,2,27,5.73,0.83,39.4,-51,-51.8,5254.8,3.61,0
-0.48,,-0.2,-0.48,-0.48,-0.46,-0.37,,223.2,-33.61,29,4.2,-40.37,49.88,1,1,11,9.28,0.84,46.1,13.9,-8.9,5114.7,4.72,0
-0.05,,-0.06,0.01,-0.07,-0.01,0.03,,122.67,-13.8,-7.42,-1.08,-21.34,22.62,1,3,36,5.54,0.49,-36.6,-18.5,-12.9,6270,4.29,0
-0.31,-0.39,-0.16,0.09,-0.05,-0.14,-0.13,-0.04,23.41,-78.5,17.35,115.81,-4.1,117.17,1,1,10,6.12,0.97,53.7,-22.2,59.9,4808,2.59,0
0.3,0.24,0.23,0.31,0.23,0.23,0.21,0.15,23.43,-7.03,-2.91,-21.69,-20.07,29.69,1,2,21,5.76,0.64,-8,-26.5,13.8,5863.5,4.05,0
0.25,-0.16,,0.27,0.22,0.16,0.31,0.23,320.79,-87.05,19.02,6.92,26.15,33.07,1,2,26,8.74,0.76,-18.1,-12.8,-8.1,5687,,0
0.01,0.05,,-0.04,-0.01,0.01,0.12,0.15,122.72,-42.81,-12.95,-2.58,31.23,33.91,1,1,12,8.78,0.89,42.5,-33.4,-29,5022.5,,0
-0.22,-0.32,-0.15,,-0.07,-0.17,-0.2,0.33,23.48,59.23,4.52,57.05,28.23,63.82,1,2,29,4.69,0.99,5.4,12.1,-9.1,4767.3,2.51,0
-0.34,-0.08,-0.19,-0.38,-0.31,-0.38,-0.46,-0.06,223.32,40.82,56.53,15.2,1.41,58.56,1,3,35,7.79,0.47,-2.8,0.8,-7.3,6209.4,4.33,0
0.33,0.3,0.14,0.33,0.32,0.3,0.36,0.28,320.84,-41.55,-24.39,-10.36,22.86,35,1,2,28,7.6,0.74,14.7,-25.1,4.7,5615.2,4.37,0
0.08,0.08,-0.02,0.12,0.12,0.13,0.23,0.39,122.79,-46.3,26.22,7.21,-29.52,40.13,1,1,12,8.83,0.86,-12.4,-8.6,-22.9,5196.2,4.39,0
0.23,-0.08,-0.07,0.11,0,0.18,0.14,,223.35,18.24,-102.83,-31.01,-75.73,131.42,1,1,10,7.8,1.04,26.2,2.2,-13,4886,3.16,1
0.29,,,0.61,0.31,0.32,0.35,0.44,223.35,15.71,49.88,15.11,0.15,52.12,1,3,39,6.38,0.57,1.5,4.6,18.8,6231,,0
0.03,,0.09,,,,,,188.39,72.48,-48.35,5.01,-11,49.84,1,3,38,7.5,0.57,52.2,-39.8,-47,6066,4.29,0
0.21,,0.21,,,,,,23.53,2.45,2.59,85.3,71.2,111.14,1,2,21,8.92,0.65,21.2,-41.2,-60.2,6067.3,4.06,0
0.1,-0.18,-0.09,0.16,0.18,0.13,0.06,0.61,122.82,-12.93,-48.1,-14.66,-18.96,53.74,1,2,28,4.72,0.94,-25.5,-26.2,3,4950,3.23,0
0.07,,,0.2,0.08,0.16,0.1,0.1,122.84,38.73,-23.44,-7.72,41.3,48.11,1,2,20,6.61,0.59,-35.4,-13.9,-9.2,5940.7,3.9,0
-0.04,-0.23,-0.06,0.09,0.02,0.03,-0.05,0.27,122.89,-7.77,-6.51,-2.49,-85.36,85.64,1,2,28,5.35,0.89,3.9,4.5,-23.6,5128.8,2.99,0
0.07,0.09,0.05,0.1,0.06,0.09,0.08,0.04,122.89,-6.02,-55.17,-21.28,16.2,61.31,1,3,37,7.9,0.54,-49,-13.5,0.1,6237.3,4.63,0
0.25,0.12,0.03,0.28,0.2,0.2,0.15,0.35,74.46,14,4.31,-5.93,53.95,54.45,1,2,28,8.92,0.74,-42.6,-18.3,-2,5612.3,4.5,0
0.18,0.29,-0.02,0.23,0.15,0.2,0.13,,137.26,-28.96,-44.39,65.16,64.09,101.6,1,2,20,7.82,0.6,-59.8,-59.5,3.6,5997.7,3.97,0
-0.38,0.06,-0.01,-0.14,-0.18,-0.33,-0.16,-0.02,122.91,32.46,-10.18,-4.17,18.8,21.79,1,2,23,6.81,0.68,-48.2,-60.9,-40,5549.1,4.46,0
-0.12,,0.13,,0.12,0.29,0.49,,287.25,6.07,-9.16,-43.83,-9.54,45.79,1,3,32,5.23,0.35,-29.1,-45.6,-4.8,6899.7,4,0
-0.23,-0.07,-0.07,-0.17,-0.15,-0.23,-0.27,-0.05,23.7,0.94,3.05,-21.39,29.88,36.87,1,3,39,6.9,0.53,3.5,-64,3.4,6060.8,4.27,0
0.18,0.05,,0.42,0.38,0.21,0.12,0.92,321.04,-20.85,-26.68,-18.16,-70.09,77.17,1,1,10,5.37,1.18,28.6,-33.7,-23,4520.5,2.11,0
0.16,0.13,0.07,0.22,0.12,0.15,0.15,0.23,122.95,16.52,20.46,9.45,-23.95,32.88,1,2,22,7.23,0.67,-0.3,-38.7,-15.7,5712,4.33,0
-0.49,-0.41,-0.23,-0.36,-0.43,-0.35,-0.43,-0.38,122.96,4.27,32.76,15.21,-77.15,85.19,1,3,37,7.75,0.59,-56.1,-21.4,25.9,5893,4.04,0
0.12,0.13,0.25,0.02,0.06,0.11,0.25,1,321.06,-58.69,-11.29,-8.07,-21.52,25.6,0,1,13,8.68,1.06,9999,9999,9999,4740,4.38,0
0.04,-0.43,-0.22,1.11,0.22,-0.17,0.26,0.15,321.1,10.17,-65.72,-51,-77.42,113.64,1,3,35,6.33,0.47,-42.2,-11.7,-10.5,6487,,0
-0.24,-0.06,-0.25,-0.14,-0.16,-0.12,-0.06,0.34,23.84,-21.2,-7.16,25.35,-26.59,37.42,0,1,10,8.75,0.78,9999,9999,9999,5159,4.36,0
0.04,,,,,,,,223.6,-11.9,-67.69,-40.78,62.36,100.67,1,1,10,5.79,0.98,-32,-15.7,-5.6,5015,3.2,0
0,,,0.04,-0.03,0.09,0.13,-0.03,123.06,2.29,40.25,23.82,53.5,71.06,1,3,35,7.92,0.47,-15.6,-8.9,-11.2,6643,,0
0.1,0.13,-0.01,0.09,0.1,0.11,0.11,0.05,23.86,-13.38,7.61,-24.82,-27.52,37.83,1,3,39,7.17,0.59,-40.8,-20.1,-1.7,6037.8,4.4,0
0.4,0.36,0.29,0.58,0.34,0.47,0.53,0.3,171.69,3.01,8.26,-16.03,2.45,18.2,1,1,14,7.53,1,-62,-12.5,-10.2,5049.7,4.5,1
0.15,0.19,,0.18,0.17,0.09,0.35,,321.26,-23.32,-8.28,-8.79,48.73,50.2,0,1,11,9.98,0.99,9999,9999,9999,4963,4.43,0
-0.17,,0.07,0.1,,-0.11,0.21,,23.97,41.08,-46.22,107.19,-28.04,120.05,1,2,29,6.39,1.12,-105,-3,-10,4754,3.05,0
-0.33,-0.52,,-0.42,-0.44,-0.21,-0.07,,121.01,-35.28,1.83,-32.41,28.39,43.12,0,0,0,10.83,1.02,9999,9999,9999,4571,4.4,0
0.32,0.44,0.44,0.32,0.36,0.26,0.26,0.39,23.97,-17.53,4.03,-9.29,39.03,40.33,1,2,26,7.15,0.71,-23.5,-68.5,-7.8,,,0
-0.65,,-0.36,-0.35,-0.5,-0.46,-0.38,,321.32,70.48,3.48,4.19,25.77,26.34,1,2,20,7.29,0.62,15.3,-72.9,-19,5723.5,4.44,0
-0.08,-0.25,0.19,0.07,0.1,0.25,0.28,0.49,123.25,16.51,76.29,67.83,-106.46,147.49,1,2,28,6.03,0.89,14.2,-1.5,-17.4,,,0
-0.37,-0.22,-0.17,-0.08,-0.21,-0.26,-0.15,0.38,223.8,53.68,16.59,15.23,-6.31,23.39,1,1,11,7.8,0.79,-106.5,-54.3,18.7,5165.5,4.39,0
