Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
0.09,0.5,0.26,,-0.06,0.03,,,0.49,-6.01,112.65,60.1,35.22,132.45,1,0,2,4.41,1.63,-12.5,-38.1,-4.1,3647,,0
-0.13,,,-0.04,0,-0.03,-0.07,,300.07,-37.7,5.07,-114.43,-0.3,114.54,1,2,28,5.96,0.99,15.4,2,-19.9,4887,2.68,0
-0.31,-0.52,,,0.12,0.72,0.47,0.04,300.08,-33.7,-0.9,14.43,-16.59,22.01,1,3,38,5.66,0.5,-16.1,-26.9,-12.7,6360.5,,0
-0.79,0.27,-0.3,-0.39,-0.52,-0.44,-0.47,-0.29,0.54,27.08,-3.85,-2.32,11.31,12.17,1,2,25,5.75,0.69,-8.8,-74.8,-34.3,5363,4.41,0
-0.03,0.11,0.1,0.12,-0.01,0.02,0.06,0.01,202.08,-0.84,15.49,25,-32.82,44.07,1,2,23,7.44,0.65,72.8,-31.1,-57.1,5725.4,4.26,0
-0.2,0.08,,,,,,,300.1,-66.95,-3.04,40.94,60.68,73.26,1,1,10,5.75,1.03,-9.5,-73.9,-7,,,0
-0.14,,,-0.1,-0.02,-0.07,-0.07,,300.11,-49.35,5.49,-65.63,85.52,107.94,1,1,10,6.18,1.06,74.5,-19.5,-2.4,4720,2.61,0
0.12,0.09,0.07,0.08,0.08,0.13,0.09,,0.59,11.01,0.3,0.2,-33.81,33.81,1,1,10,8.48,0.89,6.2,-14.7,9.7,,,0
-0.01,0.04,0.01,0.09,-0.05,0.01,0.02,0.02,202.11,13.78,3.15,5.43,16.76,17.89,1,2,25,4.97,0.71,12.9,-51.4,-4.3,5531.6,3.97,1
-0.66,,-0.34,-0.5,-0.6,-0.54,-0.56,,102.96,41.58,38.16,-32.83,-45.56,67.89,1,3,38,7.85,0.44,27.1,28.9,-20.6,6269.8,4.13,0
0,0.04,0.08,0.02,0,0.04,0.02,,202.11,15.71,-25.41,-44.21,-0.02,50.99,1,3,35,7.91,0.54,-16.3,-4.5,-13.1,6079,,0
-0.28,-0.21,-0.22,-0.12,-0.2,-0.16,-0.13,-0.32,202.13,-27.39,-11.22,-20.28,-28.17,36.48,1,3,39,7.21,0.58,-41.9,-2.3,33.9,5892.2,4.4,0
0.35,0.39,0.2,0.35,0.34,0.33,0.3,0.33,103.01,-33.92,29.16,-22.82,-27.68,46.23,1,2,20,7.2,0.61,-32.5,-21.4,-17,6043.2,4.32,1
-0.03,-0.12,,-0.1,-0.06,-0.04,-0.04,-0.28,103.01,-11.2,-7.7,6.01,46.06,47.08,1,2,24,7.43,0.72,-13.3,-5.4,-7.5,5489,,0
0.34,,0.33,0.39,0.41,0.29,0.26,,202.16,28.45,-31.08,-61.34,-12.11,69.82,1,2,21,8.34,0.68,-16.6,-53.3,-14.9,5888.5,4.36,0
0.02,1.07,0.09,-0.12,0.01,-0.03,0.17,0.85,103.08,-5.17,-3.22,2.19,7.83,8.74,1,1,13,6.57,1.07,-0.1,12.7,-19.8,4763.6,4.45,0
0.11,0.09,,0.06,0.05,0.18,0.14,,202.2,-86.45,1.41,3.08,60.56,60.65,0,2,25,9.19,0.75,9999,9999,9999,5542,4.45,0
0.18,,,0.34,0.19,0.27,0.25,0.08,103.1,7.9,3.54,-2.26,99.38,99.47,0,3,35,7.6,0.49,9999,9999,9999,6455,,0
0.28,0.27,0.26,0.3,0.26,0.25,0.24,0.34,103.1,-37.85,-65.11,41.55,-11.79,78.13,0,2,25,8.64,0.69,9999,9999,9999,5705,,0
-1.08,-1.01,-0.57,-0.69,-0.77,-0.78,-0.85,-0.59,300.25,-12.26,13.62,-58.47,19.28,63.06,1,3,38,7.72,0.57,71.3,-122,41.4,5686.1,3.86,0
0.04,-0.01,,,,,,,202.26,42.24,-2.49,-6.44,-39.47,40.07,1,3,39,7.64,0.59,-17,-19.2,-4.8,5988.5,,0
-0.04,-0.17,-0.02,0.1,0.01,-0.01,-0.07,0.6,202.3,10.82,-5.03,-14.76,-87.05,88.44,1,1,10,5.66,1.05,-12.5,-29.8,-0.1,4697.5,2.53,0
-0.45,,-0.28,-0.27,-0.41,-0.37,-0.37,-0.33,300.32,5.65,21.09,-69.61,-53.58,90.33,1,3,36,7.45,0.44,31.1,11.3,0.6,6397,3.87,0
-0.18,-0.03,0.11,-0.05,-0.15,-0.03,0.14,0.58,103.25,-23.11,12.18,-5.5,27.37,30.46,1,1,13,9.03,0.98,-36.7,-56.5,22.8,4815,4.36,0
0.26,0.3,0.14,0.27,0.23,0.22,0.25,0.21,202.34,-35.57,-4.97,-16.36,27.44,32.33,1,2,27,7.25,0.72,-33.6,-12.5,-13.1,5662.6,4.33,1
0.21,0.21,0.04,0.22,0.18,0.23,0.22,0.04,300.39,-16.87,-4.84,12.68,31.26,34.08,1,2,22,7.33,0.65,-31.9,-16.9,-13,5850.2,4.45,0
0.48,0.32,,0.4,0.45,0.42,0.49,,103.3,-44.93,-51.5,19.92,-76.61,94.43,0,2,26,8.9,0.79,9999,9999,9999,,,0
0.35,0.32,0.31,0.41,0.24,0.3,0.28,0.39,300.41,-22.11,-26.58,65.21,8.47,70.92,1,3,37,8.09,0.56,-8.6,-19.1,4.1,6287.5,,0
0.31,0.13,-0.19,,,,,,0.92,-28.4,-24.04,-31.76,4.88,40.13,1,2,28,8.25,0.78,-31.2,-45.8,-19.8,5554,,0
0.13,0.24,0.11,0.07,0.13,0.19,0.19,,103.32,-74.73,-40.45,14.95,34.38,55.15,1,3,38,7.65,0.53,-44,-13.8,-8.1,6329,4.55,0
0.22,0.22,0.34,0.3,0.24,0.22,0.24,0.23,0.97,-28.39,-26.24,-38.48,5.59,46.9,1,2,25,7.64,0.74,-21.1,-15.7,17.4,5622,4.01,0
-0.08,-0.1,0.03,-0.02,-0.07,-0.04,0.01,-0.12,300.47,-69.19,17.58,-36.88,-2.98,40.96,1,2,24,8.11,0.67,-53.9,1.7,-15.4,5666.8,4.44,0
-0.57,,,-0.31,-0.49,-0.48,-0.62,,202.49,6.01,17.58,122.46,-34.19,128.35,1,1,10,6.51,0.96,-35.6,29.4,-2.3,4819,2.44,0
0.07,0.2,0.15,0.24,0.12,0.14,0.19,0.13,103.39,-28.54,23.91,-6.91,6.77,25.79,1,2,25,6.04,0.71,17.1,-95.2,-6.3,5621,4.12,0
0.02,0.08,0.04,0.01,0.01,0.05,0.04,,103.44,-9.52,37.96,-9.12,3.55,39.2,1,3,38,7.05,0.57,3.6,1.2,-12.2,6099.3,4.29,0
0.2,0,0.08,0.36,0.34,0.12,0.19,1.04,1.08,-16.53,-32.43,-61.04,74.24,101.44,1,1,10,5.78,1.08,-5.4,-25.1,-33.8,4770.8,2.6,0
0.1,0.08,0.31,0.03,0.09,0.14,0.08,,202.57,28.57,-6.37,-101.92,-30.87,106.68,1,3,37,8.77,0.49,-6.1,-6.4,-5.4,6376,,0
-0.15,-0.04,-0.11,,-0.16,-0.07,-0.1,-0.16,1.09,12.96,24.58,47.08,21.89,57.44,1,2,25,8.64,0.64,-90.7,-11.1,-12.3,5761.5,4.39,0
-0.33,-0.21,-0.2,-0.27,-0.26,-0.26,-0.22,,300.64,15.59,-10.95,15.34,2.19,18.97,1,1,10,7.12,0.71,53.3,-15,-17.3,5393.1,4.51,0
0.01,-0.17,-0.06,0.16,0.1,-0.04,-0.04,0.59,1.17,67.17,-13.94,-33.34,-91.06,97.96,1,1,11,5.69,1.05,-24.3,-46,0.1,4755,2.52,0
-0.45,,,-0.19,-0.26,-0.44,-0.48,,202.71,-3.05,11.89,-145.44,-13.43,146.54,0,1,10,6.91,1.03,9999,9999,9999,4732,2.62,0
-0.37,-0.49,-0.45,-0.16,-0.17,-0.27,-0.13,0.89,103.55,-12.04,-64.38,8.09,37.82,75.11,1,1,13,4.08,1.42,-78.8,-50.3,-57.4,4008.9,1.71,0
-0.44,-0.3,-0.15,-0.24,-0.28,-0.33,-0.38,-0.42,1.22,34.66,-13.25,-36.66,-4,39.19,1,2,22,6.11,0.63,-130,-53.9,-12.2,5608,3.71,0
-0.4,,-0.02,,-0.23,,-0.22,,1.23,23.27,-2.5,-7.16,-25.21,26.33,1,2,29,7.81,0.76,-43.2,-16.6,-14,5307.4,4.59,0
0.16,-0.01,0.14,0.15,0.14,0.13,0.11,0.16,1.24,-70.21,6.45,19.06,-39.28,44.13,1,2,25,8.12,0.71,0.4,-25.7,2.4,5711.5,4.43,0
-0.21,-0.17,-0.19,-0.1,-0.2,-0.19,-0.13,-0.22,300.75,28.31,-41.79,46.59,-2.04,62.62,1,2,25,7.31,0.79,-20.1,-47.5,-35.7,5289.1,3.82,0
-0.08,-0.04,-0.03,0.08,-0.07,-0.05,-0.06,-0.11,1.26,-36.02,-1.75,-5.47,50.49,50.82,1,2,20,7.74,0.54,-50.1,-9.8,-15.9,6162.3,4.55,0
0.25,-0.08,-0.14,0.5,0.48,0.31,0.22,0.95,202.82,42.11,4.21,-22.76,-73.42,76.98,1,1,12,6.07,1.08,-34.4,-20.5,-18.1,,,0
0.18,-0.06,-0.04,0.35,0.44,0.29,0.17,1.11,1.27,-0.5,38.08,121.02,-69.81,144.8,1,1,10,6.31,1.1,-10.1,-32.6,-34.5,4635,2.25,0
-0.03,-0.07,,0.05,0.03,0.02,0.32,,300.77,-6.29,26.47,-28.42,-0.19,38.84,0,1,12,9.58,1.04,9999,9999,9999,4746,4.25,0
0.02,0.01,-0.13,-0.03,0.03,-0.02,-0.03,-0.22,1.28,-52.15,-3.74,-12.56,-40.15,42.23,1,2,20,7.52,0.58,39.9,-21.7,-16.1,6154,,0
-0.05,,,0.07,-0.11,-0.11,-0.02,,202.87,-8.01,1.73,-7.16,-47.67,48.24,0,2,26,8.85,0.72,9999,9999,9999,5478,4.52,0
-0.24,,-0.06,-0.3,-0.18,-0.08,-0.14,-0.05,202.89,58.95,8.49,-32.18,30.23,44.96,1,2,22,8.09,0.59,-11.6,-5.8,-2.5,5835.3,4.41,0
-0.64,-0.25,-0.07,-0.48,-0.6,-0.42,-0.21,0.36,1.32,-67.83,1.14,4.51,15.7,16.37,1,1,14,8.48,1.08,35.6,-47.6,-2.4,4616.5,4.53,0
0.02,0.07,0.02,0.02,-0.01,0.05,0.03,-0.12,103.68,24.25,-19.67,-0.12,-24.15,31.14,1,3,38,6.84,0.58,3.7,-9.6,-11,6011.3,4.42,1
-0.38,,-0.28,-0.12,-0.24,-0.15,-0.02,0.24,202.92,-2.32,5.88,-20.15,-22.69,30.91,1,2,28,7.36,0.78,-135.6,-28.3,-5.3,5255.8,4.28,0
-0.09,-0.1,,-0.03,-0.09,-0.08,0.03,,202.94,-67.42,2.06,-6.61,53.95,54.4,1,1,10,9.38,0.84,-1,-32,35.4,5261.3,4.43,0
-0.6,,-0.27,-0.24,-0.48,-0.46,-0.42,,103.7,-31.14,-115.27,-2.95,32.62,119.83,1,3,32,8.28,0.4,-128.6,-33.9,-14.1,6694.3,4.07,0
0.04,0.04,-0.27,0.05,0.03,0.08,0.12,,1.37,-61.23,-0.41,-1.98,57.43,57.47,1,2,25,8.8,0.67,-9.3,-26.6,1.5,5760.3,4.56,0
-0.27,-0.32,,-0.17,-0.3,-0.15,,,300.9,-73.75,-2.17,1.81,38.24,38.34,0,1,12,9.55,0.95,9999,9999,9999,4861.5,4.38,0
-0.06,,0.05,0.06,0,0.02,0.1,0.12,103.71,-55.26,-9.72,-0.4,33.65,35.03,1,1,10,8.17,0.77,21.2,-34.2,-25.5,5372.5,4.36,0
0.25,0.4,0.2,0.34,0.28,0.23,0.34,0.27,300.91,29.9,0.64,-0.52,-15.98,16,1,2,27,5.71,0.75,-12.1,-44.8,-64,5552.2,4.32,1
-0.37,-0.17,-0.15,-0.31,-0.25,-0.37,-0.43,-0.2,218.02,18.84,-17.09,-51.24,-0.73,54.02,1,3,38,7.84,0.51,-51.4,-42.4,12.6,6071.6,4.22,0
-0.3,-0.02,-0.29,-0.37,-0.18,-0.25,-0.37,-0.07,1.42,58.31,-1.32,-8.93,46,46.88,1,2,20,8.22,0.64,6.3,-31.8,-40.6,5762,4.4,0
-0.03,-0.31,-0.1,-0.01,0.09,0.13,0.04,0.44,1.42,13.4,11.87,80.78,89.26,120.97,1,2,24,5.55,0.9,-19.3,-11.6,-7.5,5085,2.88,0
0.09,,0.07,0.16,0.09,0.12,0.04,,300.93,-22.6,-39.36,30.44,34.37,60.47,1,3,37,6.44,0.5,11.2,6.4,8.1,6333.2,3.96,0
-0.19,,,-0.08,-0.13,-0.05,-0.03,,203.02,-11.26,-5.15,12.65,51.17,52.96,0,2,28,8.85,0.67,9999,9999,9999,,,0
-0.57,-0.23,-0.26,-0.27,-0.38,-0.27,-0.24,0.21,300.97,23.34,-2.78,2.01,-15.22,15.61,1,1,11,7.27,0.82,85.8,-46.5,27.5,4996.5,4.45,0
0.09,0.05,0.06,-0.02,0.02,0.05,0.07,0.03,1.47,-41.75,-2.41,-23.6,30.66,38.77,1,2,20,7.53,0.6,-9.6,-21.1,-1.4,6077.2,4.53,0
-0.16,0.02,-0.18,-0.28,-0.15,-0.25,-0.33,0.01,1.48,18.24,2.82,30.39,-21.54,37.35,1,3,38,7.45,0.6,44.8,-34,17.5,5907,4.41,0
-0.27,-0.4,-0.25,-0.3,-0.41,-0.25,-0.27,,203.07,6.35,-49.45,104.94,8.19,116.3,1,1,10,7.9,0.82,-59.9,31,-0.3,,,0
0.42,,,0.89,0.75,0.44,0.41,2.27,251.28,33.51,-4.91,0.25,8.53,9.85,1,1,17,8.1,1.31,-29.7,-12.6,-16.6,,,0
0.12,-0.19,-0.07,0.2,0.2,0.25,0.1,0.64,103.81,45.83,31.09,4.41,112.03,116.34,1,1,10,6.31,0.95,-43.8,-32.2,-24.1,,,0
0,,,0.13,-0.03,0.07,0.09,-0.09,103.82,5.91,-48.55,-7.34,-19.2,52.72,1,3,38,7.61,0.52,12.9,6.2,-0.2,6244.5,,0
-0.1,-0.09,-0.05,0.03,-0.12,-0.02,-0.06,-0.14,103.83,25.38,-16.74,-2.62,4.2,17.45,1,2,20,5.76,0.57,13.5,5.7,-4.9,5908.2,4.45,0
0.04,0.07,0.01,0.08,0.05,0.08,0.05,0.03,203.11,-47.27,17.03,-33.22,5.55,37.74,1,2,20,7.17,0.6,5.4,-5.2,-21.7,5977.6,4.35,1
0.09,0.15,0.01,0.09,0.07,0.13,0.08,0.09,301.03,17.07,-3.1,1.98,-17.38,17.77,1,2,20,5.8,0.6,42.1,-20.7,9.6,5908.2,4.39,0
0.26,,0.25,0.02,0.07,0.06,0.13,0.1,1.57,58.44,-0.03,-6.7,20.41,21.48,1,2,24,5.93,0.69,-18.3,-24.9,-0.8,5698.8,4.66,0
-0.38,,-0.2,,,,,,103.87,30.16,-11.76,-2.34,-36.58,38.49,1,2,26,8.63,0.74,-19.3,-58.3,26.9,5422,4.45,0
0.11,0.24,0.17,0.03,0.14,0.13,0.13,0.08,1.58,-49.08,-0.09,9.55,23.88,25.71,1,3,37,5.7,0.52,-57.5,-37.5,-16,6247.5,4.33,1
0.15,,,0.17,0.12,0.1,0.29,,301.04,25.79,14.92,-9.17,13.52,22.13,1,1,12,7.77,0.92,3.7,-10,4.9,5130,4.3,0
0.03,0.29,0.24,-0.05,0.09,-0.09,-0.17,0.28,1.61,42.75,-1.34,35.65,-100.46,106.61,1,2,21,8.36,0.62,-22.1,-45.4,3.8,5830.8,3.83,0
-0.62,-0.45,-0.29,-0.16,-0.25,-0.33,-0.34,0.03,301.08,-32.06,62.33,-34.97,-53.25,89.13,1,1,11,4.99,1.21,-19.2,-2.8,-10.9,4370,2.4,0
-0.21,-0.21,-0.22,0,-0.2,-0.19,-0.06,-0.04,301.1,33.55,-47.54,25.65,85.45,101.09,1,2,28,7.48,0.87,18.5,33.4,-12.5,5026.5,3.19,0
0.18,0.23,0.01,0.09,0.11,0.2,0.17,0.22,1.65,29.02,0.83,-10.07,-9.36,13.77,1,2,28,6.13,0.75,-15.1,-21.3,-10.2,5471,4.6,0
-0.43,,-0.34,,,,,,203.2,24.35,-55.49,86.92,-103.24,145.92,1,2,28,6.06,0.97,106.9,-71,-3,4750.2,2.29,0
-0.62,-0.6,-0.26,-0.28,-0.45,-0.45,-0.33,,103.97,-56.94,-33.5,-10.33,-14.57,37.97,1,2,22,7.43,0.59,-112,-70.5,0.9,5784,4.14,0
-0.27,-0.43,-0.27,-0.09,-0.05,-0.1,-0.19,0.3,203.24,-10.17,36.05,-51.66,57.55,85.32,1,2,28,5.21,0.96,-3.5,-15.3,-7,4857.3,2.75,0
